observed_at_utc,monitor_elapsed_seconds,phase,host_swap_in_mib_s,host_swap_out_mib_s,host_swap_used_mib,app_cpu_pct,app_ps_rss_mib,sidecar_cpu_pct,sidecar_ps_rss_mib,host_process_count
2026-09-06T02:00:43.193135+00:00,856.964791,backend,297.762723,311.009902,27325.12,0.1,34.6875,10.0,32.515625,932
2026-09-06T02:00:48.178501+00:00,861.970257,backend,282.072911,165.004006,24235.31,1.5,37.640625,21.5,38.609375,926
2026-09-06T02:00:53.300095+00:00,867.083412,backend,342.825908,728.84005,26235.94,0.3,33.765625,6.9,22.984375,921
2026-09-06T02:00:58.287233+00:00,872.087625,backend,292.466022,291.379438,26222.06,0.0,31.046875,25.9,35.359375,918
2026-09-06T02:01:03.318603+00:00,877.094432,backend,166.66685,131.620811,26056.81,0.4,37.5,16.3,46.296875,915
2026-09-06T02:01:08.303381+00:00,882.099717,backend,222.137076,339.453697,26633.0,0.0,37.8125,10.6,40.859375,925
2026-09-06T02:01:13.441688+00:00,887.109259,backend,483.455515,542.976302,26928.0,7.7,37.296875,10.5,18.3125,935
2026-09-06T02:01:18.326804+00:00,892.114535,backend,268.373054,197.017101,26593.06,0.2,32.59375,15.4,27.75,934
2026-09-06T02:01:23.330109+00:00,897.118135,backend,296.505279,361.227431,26897.38,0.0,32.953125,15.9,28.28125,932
2026-09-06T02:01:28.328326+00:00,902.123843,backend,275.963088,161.528101,26313.75,1.0,37.140625,0.0,42.5625,931
2026-09-06T02:01:33.326321+00:00,907.129047,backend,68.088507,0.0,25977.75,0.0,41.546875,0.0,53.78125,932
2026-09-06T02:01:38.333767+00:00,912.134217,backend,119.657529,78.437649,23920.19,8.8,39.5,0.0,44.8125,938
2026-09-06T02:01:43.342439+00:00,917.139622,backend,279.613349,225.309554,23664.81,0.4,39.359375,0.0,27.953125,939
2026-09-06T02:01:48.360460+00:00,922.15022,backend,38.094259,10.000678,23520.88,0.0,41.03125,0.0,20.125,939
2026-09-06T02:01:53.367783+00:00,927.155404,backend,46.729676,0.0,23304.88,5.5,39.8125,0.0,20.140625,929
2026-09-06T02:01:58.359777+00:00,932.159181,interaction,56.832065,40.944068,23229.69,14.5,44.296875,0.4,39.703125,928
2026-09-06T02:02:03.380004+00:00,937.16117,interaction,25.052537,38.397229,23301.75,0.9,67.546875,0.0,35.65625,925
2026-09-06T02:02:08.369776+00:00,942.16678,interaction,47.175191,36.159426,23226.75,0.0,53.375,0.0,18.90625,929
2026-09-06T02:02:13.382806+00:00,947.169244,interaction,97.245827,85.47038,23190.12,0.0,30.09375,0.0,18.703125,926
2026-09-06T02:02:18.385922+00:00,952.175277,interaction,27.878863,39.42743,23211.5,0.0,26.6875,0.0,16.125,939
2026-09-06T02:02:23.401958+00:00,957.178384,interaction,35.065708,47.208162,23287.69,0.0,24.828125,0.0,45.78125,937
2026-09-06T02:02:28.413744+00:00,962.183988,interaction,46.756965,35.510197,23241.44,0.0,18.40625,0.0,23.109375,947
2026-09-06T02:02:33.415956+00:00,967.194065,interaction,28.654752,38.572266,23274.69,19.6,27.046875,0.0,33.015625,950
2026-09-06T02:02:38.409944+00:00,972.19636,interaction,42.036952,43.97981,23302.69,6.7,73.84375,0.0,18.3125,963
2026-09-06T02:02:43.411235+00:00,977.20687,interaction,14.750246,22.402911,23334.94,6.4,66.859375,0.0,14.546875,964
2026-09-06T02:02:48.425112+00:00,982.212807,interaction,15.054,5.843062,23276.19,6.5,60.90625,0.0,14.421875,966
2026-09-06T02:02:53.434841+00:00,987.2233,interaction,44.837157,59.063552,23364.06,3.5,60.203125,0.0,14.46875,968
2026-09-06T02:02:58.440341+00:00,992.225253,interaction,31.156577,22.041388,23298.31,3.3,60.5,0.5,14.34375,968
2026-09-06T02:03:03.456967+00:00,997.233831,interaction,24.657699,19.641305,23284.69,4.5,60.453125,0.2,14.5625,968
2026-09-06T02:03:08.445067+00:00,1002.240412,interaction,66.194125,58.210883,23232.12,2.8,58.921875,0.3,14.53125,971
2026-09-06T02:03:13.466070+00:00,1007.246068,interaction,49.659449,78.748418,23391.19,3.4,56.75,0.5,12.453125,972
2026-09-06T02:03:18.479441+00:00,1012.251633,interaction,38.157527,24.347899,23300.12,3.9,55.96875,0.0,12.6875,971
2026-09-06T02:03:23.460963+00:00,1017.257115,interaction,15.951262,12.024317,23296.31,2.5,53.9375,0.0,12.734375,973
2026-09-06T02:03:28.488328+00:00,1022.263142,interaction,24.177105,19.489006,23281.88,4.5,53.671875,0.0,12.375,977
2026-09-06T02:03:33.474296+00:00,1027.268552,interaction,25.372548,28.057144,23294.31,3.0,53.34375,0.0,12.609375,979
2026-09-06T02:03:38.489267+00:00,1032.273743,interaction,35.023012,40.245714,23295.75,3.0,53.09375,0.0,12.71875,984
